"PLU_SAP60";"store_id";"PredictionDay";"ReferenceDay";"FinalForecast"
" 000000000000571581.";"0486";"2024-01-03";"2023-12-18";" 0000000000000000.61"
" 000000000000638484.";"0978";"2024-01-04";"2023-12-18";" 0000000000000000.20"
" 000000000000638771.";"0978";"2024-01-04";"2023-12-18";" 0000000000000008.25"
" 000000000000632861.";"0067";"2024-01-11";"2023-12-18";" 0000000000000001.64"
" 000000000000966668.";"0067";"2024-01-11";"2023-12-18";" 0000000000000064.47"
" 000000000000966669.";"0067";"2024-01-11";"2023-12-18";" 0000000000000058.96"
" 000000000000966670.";"0067";"2024-01-11";"2023-12-18";" 0000000000000008.46"
" 000000000000966679.";"0067";"2024-01-11";"2023-12-18";" 0000000000000003.53"
" 000000000000966670.";"0978";"2023-12-19";"2023-12-18";" 0000000000000004.48"
" 000000000000571581.";"0978";"2023-12-29";"2023-12-18";" 0000000000000016.96"
" 000000000000632861.";"0332";"2023-12-29";"2023-12-18";" 0000000000000003.14"
" 000000000000638484.";"0978";"2023-12-18";"2023-12-18";" 0000000000000000.39"
